BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"L1",1,5692.6,939.6,0.0,939.6,11.1,125,338,0,0,0,0,1.000,1.000,1.000,125,0,0,0,0,0,0,0
"L2",1,5692.6,5692.6,0.0,5692.6,72.8,1415,895,0,0,0,0,1.000,1.000,1.000,1415,0,0,0,0,0,0,0

Space
,,,,,,,,Occupancy,,,Ventilation,,,,Design Inputs,,,,,Minimum Req.,,,,,Adjustments,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,VentSys,Floor Area,Multiplier,Dsgn,Min,Number,Spec. Method,Control,Zone Eff (Ez),SysEff (Ev),Per Area,Per Occupant,Per Volume,Per Space,Calculated Flow (incl Mult and Ez),Per Area,Per Occupant,Per Volume,Calculated Flow (incl Mult and Ez),TARGET Flow (incl Mult and Ez),CodeVent Mult,ExhVent Mult,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,,(cfm/ft2),(cfm/person),(ACH),(cfm/person),(cfm),(cfm/ft2),(cfm/person),(ACH),(cfm),(cfm),,,(cfm/ft2),(cfm/person),(cfm),,(cfm),(cfm),(cfm)
"L02-202_OfceComlPthp","L2","DirectlyConditioned","Office - Enclosed","Thermal Zone: L02-202_OfceComlPthp","ERV1",187.6,1,10.0,10.0,0.9,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,35,0.060,5.00,0.000,18,26,0.739,1.000,0.187,0.00,0,"UNDEFINED",0,0,0
"L02-203_BrkrComlPthp","L2","DirectlyConditioned","Lounge/Breakroom - All other","Thermal Zone: L02-203_BrkrComlPthp","ERV1",223.3,1,66.7,66.7,7.4,"Sum","Fixed",1.000,1.000,0.120,5.00,0.000,0,65,0.120,5.00,0.000,50,48,0.739,1.000,0.291,0.00,0,"UNDEFINED",0,0,0
"L02-204_FitnComlPthp","L2","DirectlyConditioned","Gymnasium/Fitness Center - Exercise area","Thermal Zone: L02-204_FitnComlPthp","ERV1",1417.3,1,45.0,20.0,31.9,"Sum","Fixed",1.000,1.000,0.300,0.00,0.000,0,890,0.300,0.00,0.000,700,658,0.739,1.000,0.558,0.00,0,"UNDEFINED",0,0,0
"L02-205_AstoComlIncd","L2","IndirectlyConditioned","Storage Room - <50 ft2","Thermal Zone: L02-204_FitnComlPthp","ERV1",178.1,1,3.0,0.0,0.3,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.739,1.000,0.558,0.00,0,"UNDEFINED",0,0,0
"L02-201A_StrsComlIncd","L2","IndirectlyConditioned","Stairwell","Thermal Zone: L02-201_CorrComlPthp","ERV1",177.9,1,10.0,10.0,0.9,"Sum","Fixed",1.000,1.000,0.060,0.00,0.000,0,0,0.060,0.00,0.000,0,0,0.739,1.000,0.044,0.00,0,"UNDEFINED",0,0,0

ThermalZone
,,,,,,,Occupancy,,,Ventilation,,,,,,Simulated,,Exhaust,,,,
Name,Story Name,Type,Pri HVAC System,Ventilation System,Floor Area,Multiplier,Dsgn,Min,Number,Spec. Method,Control,Zone Eff (Ez),SysEff (Ev),Design,Minimum Req.,,,Calculated Flow,ExhSysRef,ExhOperMode,ExhCtrlMthd,ExhBalancedSchRef
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,,(cfm),(cfm),(cfm/ft2),(cfm/person),(cfm)
